subject_id	subject_label	predicate_id	object_id	mapping_justification	confidence	comment
MONDO:0003924	adrenal cortex adenoma	skos:relatedMatch	Orphanet:463	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003036	mucoepidermoid carcinoma	oboInOwl:hasDbXref	DOID:163	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019289	hyperpigmentation of the skin	skos:narrowMatch	Orphanet:183466	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0012817	Ewing sarcoma	oboInOwl:hasDbXref	DOID:0050608	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010720	partial androgen insensitivity syndrome	skos:exactMatch	OMIM:307300	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0012215	myofibrillar myopathy 3	skos:exactMatch	Orphanet:98911	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0012215	myofibrillar myopathy 3	skos:exactMatch	OMIM:609200	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007864	angioosteohypertrophic syndrome	skos:exactMatch	Orphanet:2346	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007903	Li-Fraumeni syndrome 1	skos:exactMatch	OMIM:151623	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010535	Bazex-Dupre-Christol syndrome	skos:exactMatch	Orphanet:166113	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0021569	Emery-Dreifuss muscular dystrophy 2, autosomal dominant	skos:exactMatch	OMIM:181350	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008346	pulmonary hemosiderosis	oboInOwl:hasDbXref	DOID:10328	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008346	pulmonary hemosiderosis	skos:exactMatch	DOID:10328	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002009	major depressive disorder	oboInOwl:hasDbXref	DOID:2848	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009412	scurvy	skos:exactMatch	DOID:13724	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009412	scurvy	oboInOwl:hasDbXref	DOID:13724	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004185	ovarian serous cystadenofibroma	skos:exactMatch	DOID:7320	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004185	ovarian serous cystadenofibroma	oboInOwl:hasDbXref	DOID:7320	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010600	granulomatous disease, chronic, X-linked	oboInOwl:hasDbXref	DOID:0070190	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0012864	chromosome 2q32-q33 deletion syndrome	skos:exactMatch	Orphanet:576283	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0000774	autoimmune neuropathy	oboInOwl:hasDbXref	DOID:0040087	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0000774	autoimmune neuropathy	skos:exactMatch	DOID:0040087	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013127	asphyxiating thoracic dystrophy 3	oboInOwl:hasDbXref	DOID:0050549	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013127	asphyxiating thoracic dystrophy 3	skos:exactMatch	DOID:0050549	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008060	nonsyndromic congenital nail disorder 1	oboInOwl:hasDbXref	DOID:0080079	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008060	nonsyndromic congenital nail disorder 1	skos:exactMatch	DOID:0080079	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019409	idiopathic juvenile osteoporosis	skos:exactMatch	OMIM:259750	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006962	sebaceous adenocarcinoma	oboInOwl:hasDbXref	DOID:4839	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006962	sebaceous adenocarcinoma	skos:exactMatch	DOID:4839	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0012853	Fontaine progeroid syndrome	skos:exactMatch	OMIM:233500	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0015912	macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss	skos:exactMatch	Orphanet:182050	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011694	spinocerebellar ataxia type 15/16	skos:exactMatch	Orphanet:98770	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018882	vasculitis	skos:narrowMatch	Orphanet:280369	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005380	osteonecrosis	skos:exactMatch	DOID:0080008	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005380	osteonecrosis	oboInOwl:hasDbXref	DOID:0080008	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011835	sensory ataxic neuropathy, dysarthria, and ophthalmoparesis	skos:exactMatch	OMIM:607459	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006280	lung sclerosing hemangioma	skos:exactMatch	DOID:495	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006280	lung sclerosing hemangioma	oboInOwl:hasDbXref	DOID:495	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018301	interstitial cystitis	oboInOwl:hasDbXref	DOID:1678	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0018301	interstitial cystitis	skos:exactMatch	DOID:1678	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011076	myofibrillar myopathy 1	oboInOwl:hasDbXref	DOID:0080092	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011076	myofibrillar myopathy 1	skos:exactMatch	DOID:0080092	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003924	adrenal cortex adenoma	skos:exactMatch	DOID:0050891	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003924	adrenal cortex adenoma	oboInOwl:hasDbXref	DOID:0050891	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0027772	lung colloid adenocarcinoma	oboInOwl:hasDbXref	DOID:0080304	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0027772	lung colloid adenocarcinoma	skos:exactMatch	DOID:0080304	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002829	bartholin gland carcinoma	skos:exactMatch	DOID:60003	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0002829	bartholin gland carcinoma	oboInOwl:hasDbXref	DOID:60003	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005211	ovarian serous adenocarcinoma	oboInOwl:hasDbXref	DOID:0050933	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0005211	ovarian serous adenocarcinoma	skos:exactMatch	DOID:0050933	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013280	myxoid liposarcoma	oboInOwl:hasDbXref	DOID:5363	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013280	myxoid liposarcoma	skos:exactMatch	DOID:5363	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0100135	Dravet syndrome	oboInOwl:hasDbXref	DOID:0080422	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0100135	Dravet syndrome	skos:exactMatch	DOID:0080422	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010663	intellectual disability-hypotonic facies syndrome, X-linked, 1	skos:exactMatch	Orphanet:93973	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008490	otospondylomegaepiphyseal dysplasia, autosomal dominant	skos:exactMatch	Orphanet:166100	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003704	uterine corpus diffuse leiomyomatosis	skos:exactMatch	DOID:5916	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0003704	uterine corpus diffuse leiomyomatosis	oboInOwl:hasDbXref	DOID:5916	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013357	chromosome 17q11.2 deletion syndrome, 1.4Mb	skos:exactMatch	Orphanet:137634	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008771	amelogenesis imperfecta type 1G	skos:exactMatch	Orphanet:1031	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0017576	46,XX disorder of sex development	skos:narrowMatch	Orphanet:325697	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010407	intellectual disability, X-linked syndromic, Turner type	skos:exactMatch	Orphanet:85328	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0016761	spondyloepiphyseal dysplasia	skos:narrowMatch	Orphanet:253	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008289	brain small vessel disease 1 with or without ocular anomalies	skos:exactMatch	OMIM:175780	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0020124	neuromuscular junction disease	skos:narrowMatch	Orphanet:98495	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004950	gastric carcinoma	skos:exactMatch	DOID:5517	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004950	gastric carcinoma	oboInOwl:hasDbXref	DOID:5517	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010674	mucopolysaccharidosis type 2	skos:exactMatch	Orphanet:580	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008270	polydactyly of a triphalangeal thumb	skos:exactMatch	Orphanet:93336	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0100062	developmental and epileptic encephalopathy	oboInOwl:hasDbXref	DOID:2481	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008885	Elsahy-Waters syndrome	skos:exactMatch	Orphanet:1299	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0014200	aldosterone-producing adenoma with seizures and neurological abnormalities	skos:exactMatch	Orphanet:369929	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009833	Shwachman-Diamond syndrome	oboInOwl:hasDbXref	DOID:0080023	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008798	nonsyndromic congenital nail disorder 4	oboInOwl:hasDbXref	DOID:0080082	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008798	nonsyndromic congenital nail disorder 4	skos:exactMatch	DOID:0080082	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0016525	familial hyperaldosteronism	skos:exactMatch	Orphanet:235936	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019787	autoimmune enteropathy	skos:narrowMatch	Orphanet:522043	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0008523	Blau syndrome	skos:exactMatch	OMIM:186580	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010407	intellectual disability, X-linked syndromic, Turner type	oboInOwl:hasDbXref	DOID:0060829	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011939	Spondyloenchondrodysplasia with immune dysregulation	skos:exactMatch	OMIM:607944	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0024472	boutonneuse fever	skos:exactMatch	Orphanet:101334	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0009726	proteosome-associated autoinflammatory syndrome	skos:exactMatch	Orphanet:325004	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0016240	hemimelia	skos:narrowMatch	Orphanet:498491	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0019294	mixed dermis disorder	skos:narrowMatch	Orphanet:183481	semapv:UnspecifiedMatching	0.8	UNIQUE_1
